31,38
32,34
42,44
43,45
52,54
53,55
47,51
48,50
49,51
44,46
33,35
35,37
36,38
37,39
38,40
39,41
40,42
41,43
45,47
48,49
50,52
51,53
54,56
55,57
56,58
57,59
58,60
59,61
60,62
61,63
62,64
63,65
64,66
65,67
66,68
67,69
68,70
69,71
70,72
71,73
72,74
73,75
74,76
75,77
76,78
77,79
78,80
79,81
80,82
81,83
82,84
83,85
84,86
85,87
86,88
87,89
88,90
89,91
90,92
91,93
92,94
93,95
94,96
95,97
96,98
97,99
98,100
99,101
100,102
101,103
102,104
103,105
104,106
105,107
106,108
107,109
108,110
109,111
110,112
111,113
4,19
5,19
10,20
11,23
14,3
15,2
16,32
17,5
18,5
19,10
20,8012
21,8012
22,8012
23,8012
24,80
25,80
80,85
81,85
82,87
83,77
